# Copyright (C) 1991-2010 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 9.1 Build 350 03/24/2010 Service Pack 2 SJ Web Edition
# File: C:\Users\gsm3\Downloads\SD-Project-2-master\SDProject2.csv
# Generated on: Mon Jun 04 15:37:42 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved
CLOCK_50,Input,PIN_Y2,2,B2_N0,,
IRDA_RXD,Input,PIN_Y15,3,B3_N0,,
LEDR0,Output,PIN_G19,7,B7_N2,,
LEDR1,Output,PIN_F19,7,B7_N0,,
LEDR2,Output,PIN_E19,7,B7_N0,,
LEDR3,Output,PIN_F21,7,B7_N0,,
LEDR4,Output,PIN_F18,7,B7_N1,,
LEDR5,Output,PIN_E18,7,B7_N1,,
LEDR6,Output,PIN_J19,7,B7_N2,,
LEDR7,Output,PIN_H19,7,B7_N2,,
,Unknown,PIN_J9,,,,
,Unknown,PIN_H9,,,,
,Unknown,PIN_J8,,,,
,Unknown,PIN_C2,1,B1_N0,,
,Unknown,PIN_D2,1,B1_N0,,
,Unknown,PIN_D1,1,B1_N0,,
,Unknown,PIN_H7,1,B1_N0,,
,Unknown,PIN_G6,1,B1_N0,,
,Unknown,PIN_G5,1,B1_N0,,
,Unknown,PIN_E3,,,,
,Unknown,PIN_F3,1,B1_N0,,
,Unknown,PIN_F5,1,B1_N0,,
,Unknown,PIN_F4,1,B1_N0,,
,Unknown,PIN_H6,1,B1_N0,,
,Unknown,PIN_G4,1,B1_N0,,
,Unknown,PIN_G3,1,B1_N0,,
,Unknown,PIN_H4,1,B1_N0,,
,Unknown,PIN_H3,1,B1_N0,,
,Unknown,PIN_E2,1,B1_N0,,
,Unknown,PIN_E1,1,B1_N0,,
,Unknown,PIN_F2,1,B1_N1,,
,Unknown,PIN_F1,1,B1_N1,,
,Unknown,PIN_H5,1,B1_N1,,
,Unknown,PIN_L5,,,,
,Unknown,PIN_J4,1,B1_N1,,
,Unknown,PIN_J3,1,B1_N1,,
,Unknown,PIN_M6,1,B1_N1,,
,Unknown,PIN_G2,1,B1_N1,,
,Unknown,PIN_G1,1,B1_N1,,
,Unknown,PIN_K2,1,B1_N1,,
,Unknown,PIN_K1,,,,
,Unknown,PIN_K4,1,B1_N1,,
,Unknown,PIN_K3,1,B1_N1,,
,Unknown,PIN_L4,,,,
,Unknown,PIN_L3,1,B1_N1,,
,Unknown,PIN_M4,1,B1_N1,,
,Unknown,PIN_M3,1,B1_N1,,
,Unknown,PIN_J6,1,B1_N1,,
,Unknown,PIN_J5,1,B1_N1,,
,Unknown,PIN_J7,1,B1_N1,,
,Unknown,PIN_K7,1,B1_N1,,
,Unknown,PIN_K8,1,B1_N2,,
,Unknown,PIN_L8,1,B1_N2,,
,Unknown,PIN_M5,1,B1_N2,,
,Unknown,PIN_L7,1,B1_N2,,
,Unknown,PIN_L6,1,B1_N2,,
,Unknown,PIN_N4,1,B1_N2,,
,Unknown,PIN_N3,1,B1_N2,,
,Unknown,PIN_M8,1,B1_N2,,
,Unknown,PIN_M7,1,B1_N2,,
,Unknown,PIN_L2,,,,
,Unknown,PIN_L1,1,B1_N2,,
,Unknown,PIN_M2,,,,
,Unknown,PIN_M1,1,B1_N2,,
,Unknown,PIN_P2,1,B1_N2,,
,Unknown,PIN_P1,,,,
,Unknown,PIN_N8,1,B1_N2,,
,Unknown,PIN_P3,1,B1_N2,,
